vietnamese	english
rất ồn ào	uproariously
rất ăn năn	remorsefully
rất đau đớn	stickily
rất đẹp	magnificent
rất đúng	hair
rất đỗi	hugely
rất đắt	happy
rất ướt	soggily
rậm	thick
rậm lá	leafy
rậm lông	hairy
rậm rạp	rank
rậm râu	hirsute
rậm tóc	hairy
rận	lice
rập	indent
rập dấu vào	incuse
rập hình nổi	dent
rập khuôn	stereotype
rập mạnh	slam
rập nóng	swage
rập nổ	emboss
rập theo khuôn	fashion
rê	re
rê bóng	dribble
rêanga	realgar
rên rỉ	whine
rên rỉ kể lể	groan
rêu	moss
rêu nước	sphagna
rêu tuần lộc	reindeermoss
rêzecpin	reserpine
rền	roll
rền rĩ	moan
rền rỉ	yammer
rễ	race
rễ cái	taproot
rễ con	fiber
rễ củ	root-tubers
rễ giả	rhizoid
rễ gừng	race
rễ irit thơm	orris-root
rễ khí	pneumatophore
rễ mầm	radicle
rễ nhỏ	radicel
rễ nữ lang	valerian
rễ thần kinh	radicle
rễ tóc	fibril
rễ tơ	root-hairs
rể mút	sucker
rệp cây	lacebug
rệp rễ nho	vine-louse
rệp vừng	blight
rô-ma	axis
rôcket	rocket
rôdamin	rhodamine
rôm rả	juicy
rôman	romance
rôngđen	rove
rôngđô	rondo
rôta	curl
rôta biên	vortex
rôta cuối	vortex
rôtato	rotator
rôto	rotor
rồ dại	wild
rồi	then
rồi sao nữa?	then
rồi sao?	what
rồi thì	then
rồi đây	someday
rồng bay	wivern
rồng phun lửa	fire-drake
rối	wild
rối beng	snarl
rối bù	tousled
rối bời	dishevelled
rối loạn	mussy
rối lên	pother
rối mù	snarl
rối như tơ vò	tangle
rối rít	fuss
rối rắm	mazy
rối trí	lost
rối trật tự	rowdily
rối tung	disordered
rốn	bunt
rốn hạt	hila
rống	low
rống át	outroar
rống lên	trumpet
rống to hơn	outroar
rốt	rood
rốt cuộc	last
rốt cuộc là	amount
rốt cùng	last
rỗ	pocky
rỗ hoa	pocky
rỗ không khí	bled
rỗ kim	hole
rỗ mặt sàng	cribrose
rỗ nốt đậu	variolous
rỗ rãi	otiose
rỗ tổ ong	hole
rỗi	vacuous
rỗi rãi	odd
rỗng	bare
rỗng không	barely
rỗng tuếch	cant
rổ	skep
rổ nông	flat
rổ rá	flasket
rộn lên	dance
rộn lớn	spacious
rộn ràng	throb
rộn rịp	atwitter
rộng	wide
rộng cẳng	foot-loose
rộng khắp	far
rộng lơn	cosmic
rộng lớn	vast
rộng lượng	good
rộng r i	wide
rộng ra	widen
rộng rãi	open
rộng râi	liberal
rộng đầu	retuse
răcco	union
răn bảo	advise
răn dạy	jaw
răng	cog
răng cưa	saw-tooth
răng cửa	nipper
răng gãy	snagged-tooth
răng giả	false-teeth
răng hàm	molar
răng khểnh	snagged-tooth
răng khôn	wisdom-tooth
răng mọc chìa	snaggle-tooth
răng nanh	fang
răng nhai thịt	carnassial
răng nhỏ	denticle
răng nọc	fang
răng ranh	tusk
răng sứt	snagged-tooth
răng sữa	incisor
răng tiền hàm	premolar
răng vẩu	clutch
răng đau	bad
răng đĩa xích	sprocket
răng độc	stung
rằng	how
rằng buộc	constraint
rắc	dust
rắc bột	flour
rắc bột lên	powder
rắc hạt	seed
rắc khắp	perfusive
rắc lên	pepper
rắc lưu huỳnh	sulfur
rắc muối	salt
rắc phấn hoa	pollen
rắc rối	deuced
rắc rối gớm!	deuce
rắc tiêu vào	pepper
rắc vôi	lime
rắc đường	sugar
rắn	hafd
rắn cạp nong	krait
rắn chuông	rattler
rắn chắc	hard
rắn hổ mang	moccasin
rắn lải đen	racer
rắn lại	harden
rắn lột	shedder
rắn mang bành	naja
rắn mào	asp
rắn như thép	steely
rắn như xương	bony
rắn như đá	nether
rắn nước	coluber
rắn ráo	boomslang
rắn rỏi	nail
rắn săn chuột	ratsnake
rắn thuỷ tinh	sloe-worm
rắn thần	basilisk
rắn vipe	adder
rắn ăn trứng	chicken-snake
rắn độc	asp
rắp ranh	aspirant
rơi	drop
rơi gọn	fair
rơi lá báo	drop-out
rơi lộp bộp	rattling
rơi lộp độp	patter
rơi lắc rắc	sprinkle
rơi nhỏ giọt	drop
rơi ra ngoài	fall
rơi rụng	shack
rơi tõm	plop
rơi từng giọt	sprinkle
rơi ùm xuống	plump
rơi vào	slid
rơi vào bẫy	trap
rơi vào loại	come
rơi xuống	work
rơi xuống đất	hit
rơi độp xuống	plunk
rơle	relay
rơle cực nhỏ	microrelay
rơle thời gian	element
rơm	straw
rơm  làm mũ	satin-straw
rơm băm nhỏ	chop
rơm lêchho	leghorn
rơm ra	chaff
rơm trộn phân	litter
rơngen	roentgen
rời	quit
rời bỏ	void
rời bỏ đi	walk
rời hàng	dequeue
rời khỏi	come
rời ra	come
rời rạc	ragged
rời rạc hoá	digitize
rời tâm	apocentric
rời xa	kept
rời đi	quit
rớm nước mắt	weeping-ripe
rớt máy bay	crash
rớt xuống	drop
rởm	monkeyish
rợ hung	hun
rương	chest
rương lớn	kist
rườm rà	talky
rường cột	sinew
rước lấy	court
rưới thuốc	embrocate
rượt bắt	chevy
rượt nhạt	slipslop
rượu	damp
rượu anh đào	cherry-brandy
rượu apxin	absinth
rượu arac	arrack
rượu bán lậu	sly-grog
rượu bạc hà	crem-de-menthe
rượu bạc nho	marc
rượu bia	ale
rượu bia bốc	nog
rượu bia chua	alegar
rượu bia mạnh	stingo
rượu bia nhẹ	lager
rượu bia đen	porter
rượu bia đục	swipes
rượu branđi	brandy
rượu bổ	bracer
rượu catauba	catawba
rượu chè	vinolent
rượu có bọt	pop
rượu cu - mit	koumis
rượu cô-nhắc	cognac
rượu cồn	alcohol
rượu cốc tay	swizzle
rượu cốctay	cocktail
rượu cối	geneva
rượu gin	gin
rượu khai vị	aperitif
rượu kêfia	kefir
rượu loãng	slipslop
rượu lý đen	cassia
rượu lâu năm	beeswing
rượu lậu	bootleg
rượu lê	perry
rượu macxala	marsala
rượu mác	marc
rượu mác-tin	martini
rượu mạnh	rum
rượu melitic	carbinol
rượu mía	guarapo
rượu mùi	liqueur
rượu mận gai	sloe-gin
rượu mật ong	mead
rượu ngon	nectar
rượu ngô	corn
rượu nho	vinaceous
rượu pha trộn	twist
rượu pooctô	port
rượu pân	punch
rượu quít	mandarin
rượu rẻ tiền	plonk
rượu rum	rum
rượu sactơrơ	chartreuse
rượu sâm banh	fizz
rượu săm-banh	bubby
rượu sơnap	schnaps
rượu táo	cyder
rượu thánh	eucharist
rượu thìa là	kummel
rượu thùa	pulque
rượu tiên	nectar
rượu tiệc	wassail
rượu têquila	tequila
rượu tôkê	tokay
rượu tồi	plonk
rượu tăm	hooch
rượu uytky	whisky
rượu uytky ngô	bourbon
rượu uýtky	peatreek
rượu vang	wine
rượu vang đỏ	ruby
rượu vecmut	vermuth
rượu vôtca	vodka
rượu xakê	rice-wine
rượu xkiđam	schiedam
rượu xêret	sherry
rượu đỗ tùng	geneva
rừng	stood
rừng cây bụi	bush
rừng dương xỉ	fern-shaw
rừng lá rụng	aestilignosa
rừng nhỏ	bosk
rừng núi	outback
rừng rực	burn
rừng sồi	oakery
rừng săn bắn	forest
rừng thưa	shaw
rừng xanh	greenwood
rữa ra	fester
rửa	wipe
rửa bát đĩa	wash
rửa lại	rewash
rửa mắt	eye-water
rửa mặt	wash
rửa non	underdeveloped
rửa quá	over-develop
rửa ráy	wash
rửa sạch	wash
rửa tội	baptize
rửa tội lại	rebaptize
rực cháy	low
rực lên	kindle
rực rỡ	gay
rực rỡ nhất	superlatively
rực sáng	glow
rực sáng hơn	outblaze
rực đỏ	fire
s. khả tổng	summable
s. off ngắt	switch
s. on bật	switch
s. up tăng tốc	speed
sa cơ lỡ vận	day
sa giông	newt
sa giống	eft
sa lầm	falsely
sa lầy	bog
sa thử	jerbil
sa xuống	prolape
sa đoạ	dog
saccôm	sarcoma
sai biệt.	divergence
sai khiến	lord
sai khiến ai	dandle
sai khớp	out
sai lạc đi	corrupt
sai lầm	err
sai lầm lớn	howler
sai lệch	corruptly
sai nguyên tắc	rule
sai ngữ pháp	ungrammatical
sai niên đại	anachronistic
sai năm tháng	anachronistic
sai phái đi	dispatch
sai phân	difference
sai suất	remedy
sai số	error
sai sự thật	untrue
sai thời gian	dischronous
sai tâm	discentric
sai vây bắt	entoil
sai đường	deviate
san bằng	rase
san hô	coral
san hô sừng	gorgonian
san hô tảng	madreporian
san phẳng	level
sang  trên bè	raft
sang một bên	by
sang số 1	first
sang sưa	curry
sang sửa	dub
sang tên	convey
sanđron	chaldron
sao biển	sea-pad
sao băng	bolide
sao bắc cực	polaris
sao bắc đẩu	pole-star
sao chổi	comet
sao diêm vương	pluto
sao hải vương	neptune
sao hôm	vesper
sao kim ngưu	taurine
sao lưu	backup
sao mộc	jovian
sao mới	nova
sao mới hiện	novae
sao thiên cầm	lyra
sao thiên hậu	cassiopediun
sao thiên lang	orion
sao thiên vương	uranus
sao thổ	saturn
sao vêga	vega
sao đúng	autotype
sarốt	saros
sau cầu mắt	retrobulbar
sau cổ	retrocollic
sau hàm dưới	retromandibular
sau hầu	retropharingeal
sau hết	last
sau khi chết	necrologic
sau khi cưới	post-nuptial
sau lưỡi	retrolingual
sau mống mắt	retroiridian
sau mắt	retroocular
sau ruột tịt	retrocaecal
sau rốt	long
sau sân khấu	offstage
sau sườn	post-costal
sau trầm tích	metasedimentary
sau đảo	retroinsular
sau đại học	postgraduate
sau đó	further
sau đây	hence
sau đấy	afterward
sau-trước	dorsiventral
say khước	moppy
say khướt	sheet
say lảo đảo	groggy
say mê	mad
say mê ai	gone
say mềm	louded
say rượu	load
say sưa	lost
say đòn	slap-happy
say đắm	took
sà xuống	stoop
sài đẹn	oafish
sàn dưới	subflour
sàn gỗ	parquetry
sàn gỗ ván	planking
sàn lát gỗ	parrquetry
sàn packê	parquetry
sàn trên	forecourt
sàn đỡ	staddle
sàng lắc	shaker
sào bịt đầu	quant
sào chặn	stop
sào căng buồm	boom
sào huyệt	den
sách bài tập	workbook
sách báo ế	return
sách bìa mềm	paperback
sách chỉ dẫn	guide
sách cẩm nang	cookbook
sách dạy đàn	school
sách dẫn	prodome
sách học vần	speller
sách khổ bốn	quarto
sách kinh rôze	rosary
sách luật	statute-book
sách lễ	ordinate
sách lược	tactically
sách nhiễu	exacting
sách phúc âm	word
sách số học	arithmetic
sách thiên văn	almagest
sách tiếu lâm	facetiae
sách tóm tắt	digest
sách truyện	story-book
sách trắng	white-book
sách tập đọc	reading-book
sách vần	abecedaries
sách vỡ lòng	abc-book
sách vở	furniture
sách vở lòng	primer
sám hối	penitent
sán dây	taenia
sán lưỡi	ligula
sán xơ mít	taenia
sáng chế	invent
sáng hơn	outshone
sáng kiến	invention
sáng lập	found
sáng lên	alight
sáng mờ mờ	gleamy
sáng ngời	beamy
sáng người	efflugent
sáng rực	radiant
sáng rực lên	flare
sáng suốt	man
sáng về đêm	noctilucous
sánh cặp	pair
sánh với	rival
sánh được	match
sáo đá	grackle
sáp môi	rouge
sáp nhập	annex
sát bên	touch
sát giới hạn	marginal
sát gần	verge
sát nhập.	merger
sáu mặt	hexahedral
sáu mươi	sixty
sáu mươi tuổi	sexagenary
sáu điểm	sice
sải dây ngắn	ropes-end
sảm lượng	output
sản lại được	reproducible
sản lượng	yield
sản lượng .	output
sản lượng cao	bonanza
sản phẩm	issue
sản phẩm cất	distillate
sản phẩm dập	presswork
sản phẩm ép	presswork
sản phẩm phụ	spin-off
sản vật	produce
sản xuất	make
sản xuất ra	turn
sản xuất.	production
sạch mợ	afloat
sạch như chùi	clean
sạm nắng	burnt
sạt nghiệp	peg
secvô	servo
sen đầm	gendarme
senlăc	shellac
sét tảng lăn	till
sét tẩy bẩn	smectite
sẹo gươm chém	sword-cut
sẹo trâu	keloid
sẹo vết kiếm	sabre
sẹo xương	callus
sẹo đầy	keloid
sẹo đậu mùa	pock-mark
silic đioxyt	silica
sinh bào tử	sporogenous
sinh bệnh	morbific
sinh bức xạ	radiation-producing
sinh chất	plasm
sinh chồi bên	surculose
sinh cơ	premise
sinh lý mô	histophysiology
sinh lợi	yield
sinh lợi được	producible
sinh lực	life
sinh mầm	gemmule
sinh mật	melliferous
sinh mệnh	life
sinh nhiệt	thermogene
sinh nở	lie
sinh quyển	ecosphere
sinh ra đã	innately
sinh sản được	producible
sinh sâu	verminate
sinh sôi	breed
sinh sống	settle
sinh sữa	lactate
sinh thiết	biopsy
sinh thực	live
sinh trắc học	biometry
sinh trưởng	vegetate
sinh tố b	thiamine
sinh tơ	serific
sinh tư	quadrigeminal
sinh viên	student
sinh viên luật	jurist
sinh vật	being
sinh vật học	biology
sinh vật trôi	nekton
sinh vật đáy	benthos
sinh đẻ	procreant
sinh đôi	twin
sinh động	racy
sinh ở bên	amphigenous
sinh ở ngọn	acrogenous
siêng học	studious
siêng năng	sedulous
siêu	super
siêu bội	hypergeometric
siêu cao	superhigh
siêu cao tần	uhf
siêu compact	supercompact
siêu cầu	hypersphere
siêu công suất	heavy-duty
siêu cường	superpower
siêu cứng	superhard
siêu dân tộc	supernational
siêu dẫn	superconducting
siêu eliptic	hyperelliptic
siêu hạn	transfinite
siêu hữu cơ	superorganic
siêu không gian	hyperspace
siêu khổng lồ	supergiant
siêu kỷ	super-ego
siêu linh	paranormal
siêu linh hồn	superspiritual
siêu liên kết	hyperlink
siêu lỏng	superfluid
siêu lọc	ultrafilter
siêu ly tâm	supercentrifuge
siêu ma trận	hypermatrix
siêu máy tính	supercomputer
siêu metric	hypermetric
siêu mũ	hyperexponential
siêu mật tiếp	hyperosculation
siêu nghiệm	transcendent
siêu ngân hà	supergalaxy
siêu nhiên	superhumanity
siêu nhóm	hypergroup
siêu nhân	angelic
siêu nón	hypercone
siêu năng	telekinesis
siêu nặng	superheavy
siêu phàm	nature
siêu phân tử	supramolecular
siêu phẩm	hyperphysical
siêu phức	hypercomplex
siêu quađric	hyperquadric
siêu quốc gia	supranational
siêu sao	superstar
siêu sao  ...	megastar
siêu thanh	hypersonic
siêu thế giới	ultramondane
siêu thể tích	hypervolume
siêu thực	hyper-real
siêu thực thể	supersubstantial
siêu thực tế	surrealistically
siêu trần	ethereal
siêu trần hoá	etherealize
siêu tâm linh	superspiritual
siêu tân tinh	supernova
siêu tự nhiên	weird
siêu việt	overmount
siêu văn bản	hypertext
siêu xuyến	hypertorus
siêu âm	supersound
siêu âm học	supersonics
siêu ổn định	ultrasble
siêu điều hoà	superharmonic
siêu điện	hypersurface
siêu đoạn	suprasegmental
siêu đồng bộ	oversynchronous
siêu đồng đều	hyperhomology
siết	clench
siết chặt	press
siết lại	constrict
siết vít	screw
sĩ quan quân y	surgeon
sn trắng	whiten
so bì với	rival
so dây	tone
so sánh với	assimilate
so sánh được	comparable
so với	measure
soạn luật lệ	codify
soi đường	light
son bôi môi	lipstick
son phấn	make-up
song chắn	rave
song compăc	bicompact
song cấp	bigrade
song flecnôt	bifecnode
song hàm tử	bifunctor
song hữu tỷ	birational
song môđun	bimodule
song ngữ	diglot
song phẳng	plane-parallel
song phương	bilaterally
song phức	bicomplex
song song với	parallel
song trực giao	biorthogonal
song vectơ	bivector
song ổn định	bistable
song điều hoà	biharmonic
song đề	dilemma
song đối ngẫu	bidual
song đối xứng	bisymmetric
song đặc trưng	bicharacteristic
song-phẳng	parallel-plane
sò fôlat	piddock
sò nuôi	native
sóc chuột	chipmunk
sói réo lên	piping
sóng bạc đầu	whitecap
sóng biển	water-wave
sóng cồn	swell
sóng dồn	deferlant
sóng dội	echo
sóng lớn	tsunami
sóng ngắn	sw
sóng nhiệt	heat-wave
sóng siêu âm	ultrasound
sóng sượt	flat
sóng thưa	wave
sóng tiến	wave
sóng triều	mascaret
sóng vỗ	swash
sóng âm	sound-wave
sỏi mật	bile-stone
sỏi phân	coprolite
sỏi phổi	pulmolith
sỏi ruột	enterolite
sỏi thận	lithic
sọ cổ	palaeocranium
sọc mã số	barcode
sọc nổi	wale
sọt giấy vụn	waste-bin
sọt nông	trug
sọt đựng đất	gabion
spinơ	spinor
spođumen	spodumene
ssự ghi vào	inscription
ssự thắt	striction
sterađian	steradian
stinbơ	stilb
sum suê	luxuriantly
sum sê	lush
sunfurơ	sulfurous
sung công	indent
sung huyết	hyperaemic
sung sướng	glad
sung sức	day
suprimâm	supremum
suy biến	degrade
suy diễn	deduce
suy diễn được	deducibility
suy dần	decline
suy luận	infer
suy luận lại	reinduce
suy lý luận	specilative
suy lẫn nhau	interdeducible
suy nghĩ ủ ê	brood
suy nhược	low
suy nhược đi	wore
suy rộng	generalized
suy sức sống	abiotrophic
suy tôn	worship
suy tư	contemplatively
suy yếu	wilt
suy yếu dần	dwindle
suy yếu đi	break
suy đi	decline
suy đoán	speculate
suy đồi	fall
suýt nữa	inch
suất	go
suất cày	plough-land
suất cỏ khô	feed
suất ăn	size
suôn sẻ	smack-smooth
suông	empty
suồng sã	free
suối	beck
suối khoáng	spa
suối ngầm	swallet
suối nhỏ	brooklet
suối nước	font
suốt	thro
suốt cả ngày	livelong
suốt chỉ	cop
suốt ngày	day-long
suốt ngày đêm	diurnal
suốt trọn	all
suốt từ đó	ever
suốt đêm	all-night
suốt đời	born
suột	jiggered
sùi đỏ lên	break
sùng đạo	holy
súc giấy	web
súc vật	thing
súc vật lạc	estray
súc vật nhỏ	fatling
súc vật thồ	burden
súng bẫy	spring-gun
súng bắn chim	fowling-piece
súng bắn đá	onagri
súng cối	mortar
súng cổ	dag
súng etpigôn	blunderbuss
súng hơi	airgun
súng lệnh	gun
súng lớn	heavy
súng môze	mauser
súng ngắn	pistol
súng nước	water-pistol
súng phun lửa	flammenwerfer
súng saxơpo	chassepot
súng săn	rifle
súng trường	rifle
súng tồi	popgun
súng tự quay	pivot-gun
súng tự động	self-fier
súng đại bác	saker
sũng nước	souse
sủa ầm ĩ	deep-mouthed
sủa ăng ẳng	yap
sủi bọt lên	seethe
sủi tăm	bubbly
sủng nương	sultana
sủng thần	favorite
sụn liên kết	fibrocartilage
sụn sợi	fibrocartilage
sụn trên mu	epigastroid
sụn tơ	fibrocartilaginous
sụp xuống	fall
sụp đổ	give
sụt lở	break
sụt số dân	depopulate
sụt xuống	give
sân	court
sân bay	airport
sân bay lớn	aeroport
sân bay nổi	seadrome
sân bóng chày	diamond
sân băng	rink
sân chạy đua	course
sân chơi	rec
sân ga	platform
sân gôn	golf-court
sân hiên	terrace
sân kho	storage-yard
sân khấu	stage
sân khẩu	theatrical
sân lái	quarter-deck
sân lâu đài	bail
sân ngoài	forecourt
sân nhà	court
sân nhỏ	courtyard
sân nuôi	run
sân quần vợt	tennis-court
sân sau	backyard
sân tàu	spar-deck
sân thể thao	playground
sân thượng	terrace
sân trại	farmyard
sân trong	quad
sân trường	close
sân trước	door-yard
sân trượt băng	rink
sân tập bắn	range
sân vận động	stadium
sân đua xe đạp	velodrome
sân đập lúa	threshing-floor
sâu	worm
sâu bore	borer
sâu bọ	bug
sâu bọ  đốt	stinger
sâu bọ lột	shedder
sâu bọ nhảy	jumper
sâu bông	cotton-worm
sâu bướm	moth
sâu cay	pungently
sâu cát	lobworm
sâu cây vú lá	gall-fly
sâu hại rễ	root-worm
sâu hoắm	deep-set
sâu kemet	kermes
sâu kéo màng	web-worm
sâu kín	deep
sâu lá	fasciola
sâu mọt	varmint
sâu ngài đêm	cutworm
sâu róm	woobut
sâu rượu	wassailer
sâu sắc	inly
sâu sắc hơn	deepen
sâu táo	apple-grub
sâu thêm	deepen
sâu thăm thảm	abyssal
sâu xa	deep
sâu ăn bột	mealybug
sâu ăn lá	wire-worm
sâu ăn rễ	root-worm
sâu đo	geometer
sâu đụt rễ	root-borer
sần da	grainy
sầu bạc tóc	care
sầu khổ	bread
sầu não	lip
sầu thảm	deleful
sầy vảy	scale
sấm	thunder
sấm truyền	sibylline
sấm động	thunder
sấn vào ai	hurl
sấp	prone
sấy	fire
sấy bằng lò	oven-dry
sấy khói	smoked
sấy khô	dry
sẫm	deep
sẫm lại	thicken
sẫm màu	umber
sẩy	stilt-born
sẩy chân	misstep
sẩy thai	abort
sập	fall
sập mạnh	bang
sập xuống	founder
sậy	reed
sêcơ	shaker
sêrip	sherif
sền sệt	pappy
sếch-xpia	swan
sô vanh	chauvinist
sôcôla	choc
sôi	boil
sôi cạn	boil
sôi lên	seethe
sôi nôi	intent
sôi nổi	hot
sôi nổi lên	quicken
sôi sùng sục	bubble
sôi sục	fervid
sôi tràn ra	boil
sôi ùng ục	rumble
sôi động	hotly
sôlênôit	solenoid
sông	flood
sông a-ma-zôn	amazon
sông băng	glacier
sông con	creek
sông mê	lethe
sông nhánh	feeder
sông nhỏ	riveret
sông nil	nilotic
sông nước	water
sông đào	dyke
sồi	floss
sồi gộc	dupion
số	lot
số 2	dyad
số ba	three
số ba mươi	thirty
số báo	issue
số bản in	pressrun
số bản in ra	edition
số bảy	seven
số bảy mươi	seventy
số bị chia	divided
số bị nhân	multiplicator
số bị trừ	minuend
số bù	complement
số bốn	four
số bốn mươi	forty
số cao nhất	top-gear
số chia	divisor
số chín	nine
số chín mươi	ninety
số chưa tính	residua
số còn lại	balance
số cân hụt	shrinkage
số cân thừa	overweight
số cộng lại	tot
số dân thừa	overspill
số dôi	excess
số dư	margin
số dư thừa	overstaffed
số dư.	residual
số dưới căn	radicand
số gia	increment
số gấp tám	octuple
số hai	two
số hai mươi	twenty
số hạng	term
số hạng cuối	extremely
số hạng đầu	extremely
số hoá	digitize
số học	figure
số hộ khẩu	directory
số hội viên	membership
số hư	abstract
số ít	few
số ít vùng	country
số khuyết	defect
số không	zero
số không đổi	constant
số lãng phí	wastage
số liên hợp	conjugate
số liệu	data
số liệu ra	data-uot
số liệu vào	data-in
số lớn	quantity
số lương lớn	plentifully
số lượng	tale
số lượng co	shrinkage
số lượng hơn	excess
số lượng in	impression
số lượng lớn	body
số lượng nh	pittance
số lượng nhỏ	modicum
số máy  phụ	ext
số mã	complement
số mũ	index
số mệnh	dole
số một	first
số một nghìn	thousand
số mười	ten
số mười bảy	seventeen
số mười chín	nineteen
số mười lăm	fifteenth
số mười một	eleven
số nguyên	integer
số nguyên tố	prime
số người dự	attendance
số người hầu	establishment
số người theo	following
số nhiều	pix
số nhiều abos	abbo
số nhiều coni	conus
số nhiều pali	palus
số nhiều pts	pt
số nhiều rami	ramus
số nhiều taxa	taxon
số nhiều unci	uncus
số nhân	multiplier
số nhân.	multiplier
số năm	five
số năm mươi	fifty
số phải chết	fey
số phiếu	vote
số phiếu bầu	poll
số phóng to	power
số phần trăm	percentage
số phận	lot
số sáu mươi	sixty
số sinh đôi	twin
số tám	eight
số tám mươi	eighty
số thu nhập	proceeds
số thu.	receipt
số thuốc nạp	charge
số thập phân	decimal
số thêm vào	plus
số thặng dư	surplus
số thương vong	casualty
số thừa	excess
số thứ tự	ordinal
số tiền cúng	input
số tiền dư	overage
số tiền góp	jackpot
số tiền gửi	lodgment
số tiền lớn	gold
số tiền nhỏ	razoo
số tiền nhận	receipt-book
số tiền nợ	indebtedness
số tiền tống	exaction
số tiền đóng	subscription
số tiền đúc	mintage
số tính toán	tally
số to gấp năm	quintuple
số trị	numerical
số trung bình	mean
số trúng	draw
số tỷ lệ	scale
số tờ	folio
số tử vong	mortality
số tự	digit
số vô tỉ	surd
số vô tỷ	irrational
số zêrô	cipher
số âm	negative
số đa biết	datum
số đảo	reciprocal
số đạn nạp	charge
số đo	measure
số đủ dùng	enough
số đôi	dual
số đông	mass
số đối chiều	condimension
số đẳng bội	equimultiple
số đặc trưng	root
số ước lượng	matter
sống	walk
sống bơ vơ	castaway
sống chung	plesiobiotic
sống còn	vital
sống cùng	mate
sống cực khổ	live
sống dai	bone
sống dè xẻn	live
sống ghép	parabiotic
sống giữa đá	rupestrine
sống hấp hối	apobiotic
sống lai nhai	linger
sống lay lất	day
sống lại	arise
sống lâu	bone
sống lâu hơn	outlast
sống lâu năm	perennate
sống lần hồi	live
sống lưng	chine
sống mãi	deathless
sống mâi	immortally
sống một năm	annual
sống neo	beam
sống noãn	raphe
sống phong lưu	cake
sống qua	survive
sống sót	live
sống sung túc	cake
sống sượng	rough
sống trong hoa	floricolous
sống trong tổ	hive
sống trên bờ	limicoline
sống trên cây	arboreal
sống trên nấm	fungicolous
sống trên đá	saxatile
sống trăm năm	centennial
sống trượt	skid
sống với	live
sống xa hoa	luxuriate
sống ẩn	cryptozoic
sống ẩn dật	retire
sống đạm bạc	bread
sống đế vương	regal
sống độc thân	celibate
sống động	vividly
sống ở hoa	epanthous
sống ở nước	aquatic
sống ở rễ	radicicolous
sống ở rừng	silvicolous
sống ở đất	geophilous
sốt	pyrexia
sốt dẻo	hot
sốt lao phổi	hectic
sốt nhẹ	subfebrile
sốt ruột	agog
sốt sắng	racy
sốt từng cơn	remittent
sốt vỡ da	growing
sỗ sàng	pert
sổ	list
sổ biên bản	minute-book
sổ bìa đen	blacklist
sổ cái	ledger
sổ chấm công	time-sheet
sổ ghi án	docket
sổ ghi chép	notebook
sổ ghi tạm	waste-book
sổ hằng năm	calendar
sổ kiểm diện	time-book
sổ lề để vẽ	drawing-pad
sổ lồng	break
sổ lộ trình	log-book
sổ lương thực	ration-book
sổ mũi	snivel
sổ nháp	blotter
sổ nhật ký	diary
sổ quỹ	cash-book
sổ ra	break
sổ sách	record
sổ séc	cheque-book
sổ số	lottery
sổ sợi x ra	unravel
sổ tay	manual
sổ thu nhập	chit-book
sổ thu tô	rent-roll
sổ trễ giờ	gate-bill
sổ tù	gaol-book
sổ tồn căn	stub-book
sổ điểm	score
sổ đăng ký	registry
sổ đặt hàng	backlog
sổi nổi lên	warm
sổng	elude
sột soạt	swish
săn	hunt
săn bằng chó	hound
săn bằng đèn	jack
săn bằng đuốc	jack
săn bắn	hunt
săn cáo	cub
săn chó biển	seal
săn chuột	mice
săn lén	still-hunt
săn lùng	gun
săn sóc	see
săn trộm	po
săn đón	seek
săn đuổi	hound
săn được	bag
săng	chancre
sắc	edgy
sắc bén	acute
sắc cạnh	dry
sắc chỉ	firman
sắc hồng hào	floridity
sắc luật	doom
sắc lệnh	fiat
sắc mạo	habitus
sắc mặt	mien
sắc nét	dry
sắc nhẹ	tincture
sắc nhọn	sharp
sắc phổ	chromatograph
sắc sai	chromatic
sắc sảo	see
sắc son	vermilion
sắc tái	white
sắc tái mét	lividity
sắc tái nhợt	lividity
sắc thái	colour
sắc tím bầm	lividity
sắc trắng	whiteness
sắc tố	pigment
sắc tố cánh	pterins
sắc vực	gamut
sắc xám xịt	lividity
sắc đẹp	charm
sắc điệu	tonality
sắc độ	chroma
sắm quần áo	dress
sắm sửa	prepare
sắm vai	role-play
sắp	set
sắp  vào đĩa	dish
sắp bài	hand
sắp chết	leg
sắp chữ	typeset
sắp chữ lại	recompose
sắp có lương	ghost
sắp cưới	intended
sắp già	elderly
sắp hàng	line
sắp khoẻ lại	mend
sắp khóc	tearfully
sắp kết hạt	seedy
sắp nổ ra	offing
sắp oà khóc	weeping-ripe
sắp sinh nở	parturient
sắp sinh đẻ	parturient
sắp sôi	simmer
sắp sửa	go
sắp tàn	overblown
sắp thành bộ	pack
sắp thành cỗ	pack
sắp thành đôi	geminate
sắp tìm thấy	warm
sắp tới	near
sắp từng lớp	layer
sắp xảy ra	instant
sắp xảy đến	impend
sắp xuất bản	forthcoming
sắp xếp	map
sắp xếp chia	graduate
sắp xếp lại	reorder
sắp xếp sai	misarrange
sắp đi	bound
sắp đến	hang
sắp đổ	totter
sắp đặt	map
sắp đặt hàng	enqueue
sắp đặt lại	rejig
sắt	iron
sắt bị móng	shoe
sắt bịt đầu	tag
sắt t	ferromagnetic
sắt tây	tin
sắt từ	ferrimagnet
sắt uốn tóc	crisper
sắt vụn	scrap-iron
sắt vụn...	junk
sắt đá	iron
sắt đốt	searing-iron
sẵn	pre
